,symbol,name,slug,marketcap,sector,category,lowername,yf_ticker,ticker,size
1,BTC-USD,Bitcoin,bitcoin,9.26921E+11,Currencies,Payments,bitcoin,BTC-USD,BTC,99.96828251
2,ETH-USD,Ethereum,ethereum,4.52187E+11,Smart Contract Platforms,Infrastructure,ethereum,ETH-USD,ETH,58.99496394
3,BNB-USD,BNB,binance-coin,92696797882,Centralized Exchanges,Financial,bnb,BNB-USD,BNB,27.9681665
4,USDT-USD,Tether,tether,57803811636,Stablecoins,Payments,tether,USDT-USD,USDT,24.9566272
5,DOGE-USD,Dogecoin,dogecoin,53636867035,Currencies,Payments,dogecoin,DOGE-USD,DOGE,24.5969871
6,ADA-USD,Cardano,cardano,51006293465,Smart Contract Platforms,Infrastructure,cardano,ADA-USD,ADA,24.3699479
7,XRP-USD,XRP,xrp,50157739233,Currencies,Payments,xrp,XRP-USD,XRP,24.29671099
8,DOT1-USD,Dotcoin,dotcoin,50157739233,Misc.,Misc.,dotcoin,DOT1-USD,DOT,24.29671099
9,BCH-USD,Bitcoin Cash,bitcoin-cash,25468758430,Currencies,Payments,bitcoin cash,BCH-USD,BCH,22.16585766
10,LTC-USD,Litecoin,litecoin,22155160034,Currencies,Payments,litecoin,LTC-USD,LTC,21.87986805
11,UNI3-USD,Uniswap,uniswap,20030493274,Decentralized Exchanges,Financial,uniswap,UNI3-USD,UNI,21.69649258
12,LINK-USD,Chainlink,chainlink,18154704032,Data Management,Services,chainlink,LINK-USD,LINK,21.53459721
13,USDC-USD,Sola Token,sola-token,18154704032,Misc.,Misc.,sola token,USDC-USD,SOL,21.53459721
14,XLM-USD,VeChain,vechain,11729293064,Smart Contract Platforms,Infrastructure,vechain,XLM-USD,VET,20.98003368
15,SOL1-USD,Ethereum Classic,ethereum-classic,11244032872,Smart Contract Platforms,Infrastructure,ethereum classic,SOL1-USD,ETC,20.93815191
16,VET-USD,Stellar,stellar,11013880123,Currencies,Payments,stellar,VET-USD,XLM,20.91828792
17,ETC-USD,USD Coin,usd-coin,10856184217,Stablecoins,Payments,usd coin,ETC-USD,USDC,20.90467752
18,EOS-USD,EOS,eos,10229486005,Smart Contract Platforms,Infrastructure,eos,EOS-USD,EOS,20.85058853
