Date,BTC,BCN,XRP,SYS,LTC,BTS,MAID,XVG,MONA,XLM,XMR,DGB,DOGE,DASH,NXS,XEM,ETH,SC,REP,CCI30,BITX,BITW20,BITW70,BITW100,VTI,VNQ,VEA,BND,DBC,GLD
1/1/17,998.3250122,5.80E-05,0.006368,0.00894,4.511590004,0.004049,0.096920997,2.20E-05,0.023514001,0.002481,13.97280025,0.00026,0.000228,11.22920036,0.027439,0.00344,8.172570229,0.00023,3.999530077,315.744,964,964,964,964,107.920517,70.29350281,32.76396179,72.26010132,15.2057476,110.4700012
1/2/17,1021.75,5.90E-05,0.006311,0.008747,4.648940086,0.004051,0.093515001,2.10E-05,0.023290001,0.002477,16.0515995,0.000257,0.000226,11.80790043,0.032646,0.003377,8.378510475,0.000238,4.191050053,323.07,995.54,978.53,1003.46,996,107.920517,70.29350281,32.76396179,72.26010132,15.2057476,110.4700012
1/3/17,1043.839966,5.40E-05,0.006386,0.009037,4.626200199,0.004154,0.099134997,2.10E-05,0.024142999,0.002554,16.09289932,0.000287,0.000227,12.78170013,0.034201998,0.003573,9.725250244,0.000253,4.26872015,334.754,1019.78,985.83,997.34,1019.82,107.920517,70.29350281,32.76396179,72.26010132,15.2057476,110.4700012
1/4/17,1154.72998,6.00E-05,0.00657,0.009152,4.837850094,0.004438,0.110238999,2.30E-05,0.027237,0.002735,18.52709961,0.000289,0.000236,16.52420044,0.037719999,0.003766,11.25160027,0.000285,4.941050053,371.646,1046.8,1003.79,1033.46,1047.76,108.7470856,71.32073975,33.16492844,72.31377411,15.32234097,110.8600006
1/5/17,1013.380005,5.30E-05,0.006201,0.008217,4.292719841,0.004089,0.10227,2.00E-05,0.024584001,0.002598,16.18759918,0.000282,0.000229,14.37819958,0.040403999,0.003638,10.25440025,0.000284,5.102950096,334.115,1163.73,1110.15,1139.28,1163.81,108.5334778,71.54995728,33.45898819,72.68043518,15.40007114,112.5800018
1/6/17,902.2009888,5.30E-05,0.006315,0.008072,3.861259937,0.003663,0.093065999,2.20E-05,0.023446999,0.002494,14.02999973,0.000334,0.00022,12.0323,0.044961002,0.003329,10.25469971,0.000256,5.108650208,308.409,1023.44,1010.23,1003.22,1025.04,108.8771057,71.55844879,33.32532501,72.3942337,15.38063812,111.75
1/7/17,908.585022,5.40E-05,0.006366,0.008136,3.955879927,0.003678,0.092038997,1.80E-05,0.023612,0.002396,13.0632,0.000329,0.000221,12.43929958,0.045320999,0.003508,9.867190361,0.000288,4.685029984,307.73,920.34,937.8,971.82,921.47,108.4591751,70.91323853,33.24513245,72.5730896,15.14745045,112.6699982
1/8/17,911.1989746,5.00E-05,0.006233,0.008516,3.99458003,0.003699,0.093852997,1.80E-05,0.023544,0.002355,13.47179985,0.000355,0.000221,12.54069996,0.045472,0.003421,10.28979969,0.000351,4.559370041,309.316,921.79,945.9,1014.8,922.96,108.4591751,70.91323853,33.24513245,72.5730896,15.14745045,112.6699982
1/9/17,902.8280029,4.60E-05,0.006167,0.009214,4.301959991,0.003748,0.094536997,1.80E-05,0.023833999,0.002347,13.7361002,0.000299,0.000229,12.09249973,0.045591,0.003608,10.32559967,0.000335,4.216040134,308.995,927.93,948.33,1046.98,929.99,108.4591751,70.91323853,33.24513245,72.5730896,15.14745045,112.6699982
1/10/17,907.6790161,4.80E-05,0.006698,0.009111,4.591509819,0.003826,0.094392002,1.80E-05,0.023515999,0.002355,13.3913002,0.000271,0.000226,12.48550034,0.051121999,0.003601,10.54959965,0.000316,4.209169865,313.733,919.19,947.1,1062.01,921.25,108.542778,70.31047058,33.28076935,72.55522156,15.07943916,113.1500015
1/11/17,777.757019,4.20E-05,0.006411,0.007824,3.846790075,0.003466,0.082978003,1.60E-05,0.024395,0.002089,11.63689995,0.000235,0.000205,11.30070019,0.054058,0.003297,9.717760086,0.000257,3.778419971,276.353,926.91,958.42,1054.43,929.77,108.8863983,69.87751007,33.51243591,72.59098053,15.24461174,113.5
1/12/17,804.8339844,4.10E-05,0.006423,0.008185,3.962800026,0.003761,0.088416003,1.60E-05,0.024391999,0.002475,11.85270023,0.000234,0.000208,12.22480011,0.051447999,0.003489,9.861330032,0.000266,4.103809834,287.861,796.77,848.01,956.2,799.74,108.5984879,70.23407745,33.53917694,72.60888672,15.46808338,113.9100037
1/13/17,823.9840088,4.30E-05,0.006596,0.007659,3.890870094,0.003717,0.088218004,1.60E-05,0.024618,0.002398,11.26819992,0.000247,0.000209,12.59399986,0.070137002,0.003592,9.769499779,0.000284,4.323550224,291.495,825.16,898.03,1036.14,828.02,108.8678284,70.13220215,33.66392136,72.49262238,15.43893528,114.2099991
1/14/17,818.4119873,4.20E-05,0.006863,0.007829,3.9005301,0.003852,0.100084998,1.60E-05,0.024917999,0.002472,11.08710003,0.000238,0.000209,12.07830048,0.072700001,0.00372,9.646659851,0.000303,4.285150051,292.278,843.89,907.06,991.97,846.45,108.3848724,70.67554474,33.57481384,72.71616364,15.42921829,115.8499985
1/15/17,821.7979736,4.20E-05,0.006726,0.008285,3.925839901,0.00381,0.107642002,1.70E-05,0.025490001,0.002441,10.76210022,0.000278,0.000206,12.38689995,0.074910998,0.003667,9.904259682,0.000351,4.116419792,294.643,838.51,928.74,1049.24,841.4,108.3848724,70.67554474,33.57481384,72.71616364,15.42921829,115.8499985
1/16/17,831.5339966,4.30E-05,0.006788,0.008452,3.902539968,0.003911,0.113422997,1.70E-05,0.024866,0.00238,10.63969994,0.000266,0.000207,12.93560028,0.084852003,0.003669,9.636500359,0.000357,4.004260063,296.572,842.54,951.23,1112.65,844.95,108.3848724,70.67554474,33.57481384,72.71616364,15.42921829,115.8499985
1/17/17,907.9379883,4.60E-05,0.0068,0.008712,3.939049959,0.003911,0.117339,1.90E-05,0.025731999,0.002545,12.38990021,0.000263,0.000215,14.24890041,0.115618996,0.003524,10.30230045,0.000371,4.33698988,314.699,849.59,960.91,1103.51,853,108.3848724,70.67554474,33.57481384,72.71616364,15.42921829,115.8499985
1/18/17,886.617981,4.90E-05,0.006709,0.008505,3.838200092,0.003945,0.117403999,1.80E-05,0.02492,0.002481,12.04839993,0.000273,0.000208,14.06410027,0.139772996,0.003552,10.22780037,0.000363,4.397399902,310.669,924.09,992.64,1137.79,927.68,108.6356354,70.79438782,33.42333603,72.34059143,15.29319286,114.8700027
1/19/17,899.072998,4.70E-05,0.007034,0.008727,3.860610008,0.003878,0.120274,1.80E-05,0.025498999,0.002349,12.1487999,0.000279,0.000211,15.17809963,0.119828999,0.003585,10.39719963,0.000368,4.490300179,314.195,903.99,985.89,1130.26,907.89,108.2084045,70.07278442,33.36096573,72.21534729,15.24461174,114.7699966
1/20/17,895.026001,4.50E-05,0.006675,0.008747,3.890010118,0.003882,0.117510997,1.80E-05,0.025153,0.002357,11.90939999,0.000269,0.000209,15.15929985,0.097237997,0.003545,10.60060024,0.00035,4.427470207,314.202,914.67,993.38,1181.94,918.9,108.5799026,70.58213806,33.52135468,72.26900482,15.41950226,115.0500031
1/21/17,921.7890015,4.60E-05,0.006706,0.009045,3.904510021,0.003794,0.119098,1.80E-05,0.025138,0.002301,12.0284996,0.000277,0.000208,14.97089958,0.086859003,0.003691,10.90919971,0.000352,4.563710213,322.479,913.08,974.72,1148.3,917.33,108.2920074,71.17642975,33.59263229,72.46579742,15.41950226,115.7900009
1/22/17,924.6729736,4.60E-05,0.006713,0.009351,3.842940092,0.003694,0.120591998,1.80E-05,0.0261,0.002336,12.18350029,0.000267,0.000207,15.11079979,0.084012002,0.003696,10.70320034,0.00036,4.655260086,322.463,938.29,1002.88,1179.33,943.22,108.2920074,71.17642975,33.59263229,72.46579742,15.41950226,115.7900009
1/23/17,921.0120239,4.60E-05,0.006697,0.009479,3.835760117,0.003698,0.122874998,2.80E-05,0.024767,0.002332,12.2517004,0.000276,0.000208,15.19019985,0.092560999,0.003689,10.82079983,0.000365,4.585140228,325.702,940.12,999.5,1129.63,944.95,108.2920074,71.17642975,33.59263229,72.46579742,15.41950226,115.7900009
1/24/17,892.6870117,4.50E-05,0.00654,0.008953,3.786099911,0.003685,0.119167,2.50E-05,0.025226999,0.002234,11.81429958,0.00025,0.000202,14.08990002,0.105373003,0.003902,10.63249969,0.000333,4.329889774,316.362,926.85,1018.04,1122.52,932.25,109.1371765,71.19341278,33.73520279,72.35845947,15.45836735,115.2699966
1/25/17,901.5419922,5.00E-05,0.006513,0.009051,3.714529991,0.003658,0.127272993,1.80E-05,0.02619,0.002157,11.82979965,0.000252,0.000204,14.51039982,0.107993998,0.004543,10.57050037,0.000336,4.325789928,319.164,907.39,991.18,1065.02,912.63,110.0751877,70.72647095,34.06489563,72.14382935,15.36120701,114.3199997
1/26/17,917.5859985,5.60E-05,0.00669,0.00877,3.834320068,0.003832,0.123673998,2.70E-05,0.026172999,0.002197,11.98089981,0.000248,0.000208,15.04230022,0.102169998,0.005204,10.58909988,0.000356,4.141890049,325.465,915.25,994.16,1089.94,921.53,109.917305,70.59062958,33.95797348,72.17066193,15.42921829,113.2600021
1/27/17,919.75,5.60E-05,0.006415,0.009166,3.855880022,0.003868,0.122538999,1.90E-05,0.026110999,0.002196,12.09659958,0.000267,0.000204,15.3423996,0.105899997,0.004994,10.53730011,0.000376,4.323860168,325.478,929.87,1009.17,1146.92,937.7,109.7408371,69.90298462,33.87777328,72.25113678,15.3029089,113.4899979
1/28/17,921.5900269,6.10E-05,0.006342,0.010458,3.852950096,0.003818,0.124779999,1.90E-05,0.025951,0.002192,12.84759998,0.000275,0.000209,15.26840019,0.109061003,0.004815,10.56499958,0.000386,4.258009911,328.114,930.12,1016.61,1243.09,938.55,108.9978638,69.42757416,33.63718033,72.23323059,15.21546364,113.9700012
1/29/17,919.4959717,5.80E-05,0.006402,0.009787,3.852099895,0.004159,0.134233996,1.90E-05,0.025555,0.002225,12.65559959,0.000275,0.000204,15.50580025,0.109774001,0.005164,10.48400021,0.000369,4.34428978,330.966,933.08,1039.24,1312.32,942.09,108.9978638,69.42757416,33.63718033,72.23323059,15.21546364,113.9700012
1/30/17,920.382019,5.80E-05,0.006381,0.009635,4.021249771,0.004134,0.137312993,2.70E-05,0.025999,0.002458,12.70730019,0.000275,0.000208,15.96080017,0.110633999,0.005252,10.57120037,0.000369,4.218589783,332.977,931.49,1077.87,1354.36,941.11,108.9978638,69.42757416,33.63718033,72.23323059,15.21546364,113.9700012
1/31/17,970.4030151,5.70E-05,0.006314,0.009887,4.078639984,0.004059,0.145988002,2.90E-05,0.026667001,0.002371,12.98509979,0.000271,0.000206,16.06690025,0.114696003,0.005237,10.72749996,0.000378,4.293089867,340.556,934.35,1079.4,1385.7,943.66,109.0907135,69.92845917,33.75302887,72.38529205,15.3029089,115.5500031
2/1/17,989.0230103,5.60E-05,0.00654,0.010079,4.075329781,0.004062,0.137294993,2.00E-05,0.025474999,0.002357,13.26780033,0.000276,0.000209,16.03300095,0.119396999,0.005487,10.73209953,0.000386,4.214680195,343.414,979.14,1074.96,1410.2,988.57,109.0814362,69.08798218,33.86885834,72.25803375,15.46808338,115.1999969
2/2/17,1011.799988,5.10E-05,0.006469,0.010207,4.085269928,0.004093,0.145952001,3.00E-05,0.025846001,0.00242,13.13609982,0.000283,0.000211,16.30940056,0.120724,0.006294,10.82139969,0.000386,4.105130196,348.492,996.52,1087.87,1405.52,1005.98,109.1557312,69.91148376,33.92232513,72.30286407,15.46808338,115.8399963
2/3/17,1029.910034,5.40E-05,0.006474,0.010533,4.082560062,0.00393,0.154659003,3.10E-05,0.025152,0.002399,12.86380005,0.000278,0.000213,17.52039909,0.121634997,0.006938,11.11450005,0.000389,4.097159863,353.874,1015.44,1088.69,1481.28,1025.78,109.9823303,70.29350281,34.06489563,72.32074738,15.45836735,116.1299973
