date,ANT,SNX,YFI,GRT,XLM,LTC,ATOM,ALGO,REP,ADA,COMP,XMR,SC,UNI,BCH,QTUM,GNO,MANA,BAL,ETC,FLOW,KAVA,USDC,MLN,PAXG,DASH,STORJ,ETH,OMG,ZEC,AAVE,XTZ,WAVES,LINK,BAT,DAI,LSK,CRV,FIL,USDT,KSM,KEEP,DOT,EOS,OXT,KNC,XRP,BTC,TRX,NANO,ICX
2018-11-01,4.0544,4.551,14555.0,0.26266,0.224,50.15,3.93,0.24662,14.341,0.070765,161.15,103.74,0.002,3.09,422.7,3.83417,19.2,0.0895,27.53,9.005,6.55,2.12699,1.01,2.32,1490.0,153.059,0.17784,197.79,1.07,115.8,90.95,1.3049,1.3055,1.84791,0.20046,1.00652,0.787999,1.4,62.5,0.991,47.82,0.36993,3.1099,5.2342,0.20334,1.5943,0.45596,6339.9,0.018067,1.03,0.2054
2018-11-02,4.0544,4.551,14555.0,0.26266,0.235515,51.05,3.93,0.24662,14.51,0.0724,161.15,105.23,0.002,3.09,459.0,3.9169,19.35,0.0895,27.53,9.099,6.55,2.12699,1.01,2.32,1490.0,153.971,0.17784,199.6,1.07,117.7,90.95,1.298,1.3055,1.84791,0.20046,1.00652,0.787999,1.4,62.5,0.9887,47.82,0.36993,3.1099,5.3241,0.20334,1.5943,0.45596,6346.2,0.018067,1.03,0.2054
2018-11-03,4.0544,4.551,14555.0,0.26266,0.2355,50.66,3.93,0.24662,15.189,0.070993,161.15,106.28,0.002,3.09,477.8,3.83,19.42,0.0895,27.53,9.053,6.55,2.12699,1.01,2.32,1490.0,154.877,0.17784,198.41,1.07,115.97,90.95,1.317,1.3055,1.84791,0.20046,1.00652,0.787999,1.4,62.5,0.9927,47.82,0.36993,3.1099,5.2739,0.20334,1.5943,0.45369,6331.4,0.018067,1.03,0.2054
2018-11-04,4.0544,4.551,14555.0,0.26266,0.243,54.04,3.93,0.24662,14.664,0.077407,161.15,111.87,0.002,3.09,565.9,3.99576,19.87,0.0895,27.53,9.448,6.55,2.12699,1.01,2.32,1490.0,164.688,0.17784,210.13,1.07,119.91,90.95,1.3346,1.3055,1.84791,0.20046,1.00652,0.787999,1.4,62.5,0.9912,47.82,0.36993,3.1099,5.5203,0.20334,1.5943,0.46642,6419.9,0.018067,1.03,0.2054
2018-11-05,4.0544,4.551,14555.0,0.26266,0.247101,53.48,3.93,0.24662,14.505,0.076248,161.15,111.83,0.002,3.09,557.6,3.89586,19.93,0.0895,27.53,9.39,6.55,2.12699,1.01,2.32,1490.0,163.7,0.17784,208.7,1.07,122.4,90.95,1.3374,1.3055,1.84791,0.20046,1.00652,0.787999,1.4,62.5,0.9913,47.82,0.36993,3.1099,5.4565,0.20334,1.5943,0.4965,6405.9,0.018067,1.03,0.2054
2018-11-06,4.0544,4.551,14555.0,0.26266,0.266029,55.91,3.93,0.24662,14.709,0.080824,161.15,112.84,0.002,3.09,627.8,4.02754,20.39,0.0895,27.53,9.925,6.55,2.12699,1.01,2.32,1490.0,169.973,0.17784,218.43,1.07,130.77,90.95,1.35,1.3055,1.84791,0.20046,1.00652,0.787999,1.4,62.5,0.9905,47.82,0.36993,3.1099,5.702,0.20334,1.5943,0.55023,6451.3,0.018067,1.03,0.2054
2018-11-07,4.0544,4.551,14555.0,0.26266,0.256115,53.88,3.93,0.24662,14.746,0.0785,161.15,110.99,0.002,3.09,613.9,4.1,21.0,0.0895,27.53,9.59,6.55,2.12699,1.01,2.32,1490.0,166.0,0.17784,216.95,1.07,128.91,90.95,1.321,1.3055,1.84791,0.20046,1.00652,0.787999,1.4,62.5,0.991,47.82,0.36993,3.1099,5.6207,0.20334,1.5943,0.5351,6503.3,0.018067,1.03,0.2054
2018-11-08,4.0544,4.551,14555.0,0.26266,0.254901,52.12,3.93,0.24662,14.681,0.076,161.15,108.16,0.002,3.09,572.2,3.96,20.02,0.0895,27.53,9.398,6.55,2.12699,1.01,2.32,1490.0,163.999,0.17784,210.1,1.07,135.95,90.95,1.3032,1.3055,1.84791,0.20046,1.00652,0.787999,1.4,62.5,0.9894,47.82,0.36993,3.1099,5.4699,0.20334,1.5943,0.49097,6408.8,0.018067,1.03,0.2054
2018-11-09,4.0544,4.551,14555.0,0.26266,0.255054,51.65,3.93,0.24662,14.475,0.0737,161.15,106.24,0.002,3.09,539.5,3.85373,19.49,0.0895,27.53,9.443,6.55,2.12699,1.01,2.32,1490.0,158.001,0.17784,207.9,1.07,133.3,90.95,1.2864,1.3055,1.84791,0.20046,1.00652,0.787999,1.4,62.5,0.9867,47.82,0.36993,3.1099,5.3332,0.20334,1.5943,0.49745,6335.4,0.018067,1.03,0.2054
2018-11-10,4.0544,4.551,14555.0,0.26266,0.261236,51.75,3.93,0.24662,14.799,0.074699,161.15,104.44,0.002,3.09,550.9,3.88998,19.45,0.0895,27.53,9.404,6.55,2.12699,1.01,2.32,1490.0,159.501,0.17784,210.21,1.07,128.58,90.95,1.2941,1.3055,1.84791,0.20046,1.00652,0.787999,1.4,62.5,0.9876,47.82,0.36993,3.1099,5.3722,0.20334,1.5943,0.50139,6349.0,0.018067,1.03,0.2054
