date,ANT,SNX,YFI,GRT,XLM,LTC,ATOM,ALGO,REP,ADA,COMP,XMR,SC,UNI,BCH,QTUM,GNO,MANA,BAL,ETC,FLOW,KAVA,USDC,MLN,PAXG,DASH,STORJ,ETH,OMG,ZEC,AAVE,XTZ,WAVES,LINK,BAT,DAI,LSK,CRV,FIL,USDT,KSM,KEEP,DOT,EOS,OXT,KNC,XRP,BTC,TRX,NANO,ICX
2021-04-01,11.8206,19.160,36764,1.77900,0.423280,202.57,19.4977,1.32189,38.992,1.184226,451.26,250.55,0.02844,28.663,556.08,10.06243,162.02,1.01698,56.10,14.332,31.164,7.0767,0.9999,104.220,1739.43,233.424,3.00999,1968.04,7.370134,165.44,382.53,5.1240,11.8555,30.09699,1.15439,0.99991,5.933710,3.310,186.000,0.9997,464.00,0.68297,37.4372,5.5837,0.70474,2.9164,0.57008,58732.9,0.085400,5.110000,2.8201
2021-04-02,11.6904,21.438,39613,1.88628,0.439514,211.66,20.3363,1.35805,40.185,1.191360,486.42,257.68,0.03025,30.252,580.92,10.20202,171.45,1.03814,61.49,15.228,29.834,6.9225,0.9999,102.091,1735.27,243.948,2.99000,2134.29,7.534526,169.41,420.79,5.2894,13.0315,32.47581,1.19725,1.00113,5.992722,3.361,171.782,1.0001,450.00,0.70777,40.9987,6.2539,0.73057,3.0496,0.60649,59020.7,0.092490,5.099620,2.7482
2021-04-03,10.6890,19.243,35888,1.68358,0.408111,195.24,20.0616,1.26290,37.105,1.163258,480.80,257.49,0.02632,29.394,530.89,9.73840,168.32,0.94363,56.61,13.549,30.167,6.1811,1.0000,93.893,1736.14,222.888,2.80825,2010.78,6.755606,171.52,379.15,4.7633,11.6132,29.28255,1.12028,1.00054,5.829624,2.925,178.081,1.0004,438.70,0.65909,41.3293,5.4168,0.67716,3.2577,0.57962,57099.0,0.101358,4.981852,2.4600
2021-04-04,11.3751,20.679,37763,1.76310,0.428351,202.29,21.6347,1.30946,40.878,1.181986,548.95,263.55,0.02920,30.950,560.74,10.78178,168.81,1.00333,59.25,14.589,34.609,6.7743,1.0000,101.621,1742.32,270.266,2.90126,2076.53,7.850429,187.14,403.90,5.1287,12.2626,30.73450,1.17751,1.00106,6.249185,3.100,182.790,1.0003,444.16,0.66569,44.3199,6.2821,0.81455,3.3747,0.63465,58195.0,0.127765,5.367391,2.6121
2021-04-05,13.0527,20.704,38491,1.81996,0.536585,221.31,21.4123,1.40358,42.221,1.211715,511.07,265.00,0.03225,30.820,647.00,11.83525,174.21,1.00896,59.41,16.008,38.528,6.9192,1.0000,102.897,1741.39,273.202,2.81813,2107.51,8.699749,197.10,397.30,6.1000,12.7941,32.34133,1.27874,1.00089,6.217113,3.292,176.592,1.0000,461.75,0.70443,45.7650,6.6810,0.83891,3.2720,0.91431,59120.0,0.136768,5.581876,2.5372
2021-04-06,12.5114,22.115,41599,1.75709,0.540001,236.97,21.7040,1.39780,43.391,1.252338,483.58,270.96,0.02994,31.358,661.97,15.25661,170.47,0.96000,57.61,17.730,36.039,7.3931,1.0000,99.776,1752.11,275.772,2.58705,2112.59,9.294632,190.95,383.58,6.1488,13.4199,34.72685,1.32905,1.00008,6.150242,3.177,165.603,1.0002,441.00,0.71300,43.3137,6.6428,0.81600,3.4503,1.09702,58017.1,0.124046,5.584511,2.4900
2021-04-07,11.1100,19.348,43813,1.65683,0.474148,219.35,19.5349,1.30003,48.612,1.173699,440.93,257.94,0.02646,28.571,615.16,15.57746,160.27,0.93092,50.25,19.142,34.960,6.5274,1.0000,90.868,1751.04,253.442,2.35951,1961.94,9.920660,171.05,347.81,5.5280,12.1163,31.10958,1.18538,1.00000,6.225277,2.890,156.180,0.9998,427.47,0.64972,39.5855,5.8810,0.74731,3.0702,0.91441,55928.5,0.110447,5.089577,2.3091
2021-04-08,12.0878,19.909,47198,1.75058,0.504872,226.37,20.5187,1.35123,50.177,1.219051,456.36,269.40,0.02955,30.278,643.50,16.87836,167.60,0.99016,53.99,19.599,35.280,7.2700,0.9999,91.943,1764.29,267.473,2.61000,2081.15,10.200800,184.73,370.23,6.1571,13.6742,32.77382,1.29686,1.00034,6.840000,3.063,153.960,0.9998,460.28,0.68903,41.3316,6.4461,0.79292,3.3101,1.06262,58036.9,0.123738,5.659648,2.4844
2021-04-09,12.2024,19.373,45436,1.72893,0.485402,220.84,21.3619,1.39045,56.773,1.202323,454.15,273.78,0.02988,29.514,630.85,15.73873,169.12,1.03882,51.82,18.770,35.244,7.0598,1.0000,96.183,1747.34,264.618,2.55114,2066.36,10.452182,194.21,358.78,6.8324,16.7667,31.57645,1.54563,1.00039,7.168271,2.967,171.961,0.9996,447.11,0.78180,40.7796,6.2036,0.80788,3.4127,1.01837,58110.0,0.115857,5.523061,2.6298
2021-04-10,11.6458,18.969,44676,1.89202,0.561826,255.83,21.0357,1.39066,52.724,1.217842,450.00,291.98,0.02797,29.777,672.80,15.83637,174.04,1.01211,50.64,20.420,34.930,7.0150,0.9998,92.131,1759.52,282.950,2.45859,2134.14,10.049301,206.02,367.05,6.5557,16.3600,31.90310,1.46622,0.99988,7.210000,2.963,174.570,0.9995,447.93,0.76248,41.5868,6.6108,0.80845,3.7615,1.37394,59775.6,0.126075,5.762354,2.5594
