,name,slug,mc,sector,category,tagline,desc
BTC,Bitcoin,bitcoin,731385341499.0842,Currencies,Payments,A peer-to-peer electronic cash system,"Bitcoin is the first <a href=""https://messari.io/resource/distributed-systems"">distributed consensus-based</a>, censorship-resistant, permissionless, peer-to-peer payment settlement network with a provably scarce, programmable, native currency. Bitcoin (BTC), the native asset of the Bitcoin blockchain, is the world's first digital currency without a central bank or administrator. The Bitcoin network is an emergent decentralized monetary institution that exists through the interplay between <a href=""https://messari.io/resource/node"">full nodes</a>, <a href=""https://messari.io/resource/mining"">miners</a>, and developers. It is set by a social contract that is created and opted into by the users of the network and hardened through <a href=""https://messari.io/c/resource/game-theory"">game theory</a> and <a href=""https://messari.io/resource/cryptography"">cryptography</a>. Bitcoin is the first, oldest, and largest cryptocurrency in the world."
ETH,Ethereum,ethereum,321286452105.6584,Smart Contract Platforms,Infrastructure,A decentralized computing platform,"Ethereum is a distributed blockchain computing platform for smart contracts and decentralized applications. Its native token is ether (ETH), which primarily serves as a means of payment for transaction fees and as collateral for borrowing specific <a href=""https://messari.io/article/erc-20"">ERC-20</a> tokens within the <a href=""https://messari.io/article/decentralized-finance-defi"">decentralized finance (DeFi</a>) sector."
USDT,Tether,tether,62401534427.92381,Stablecoins,Payments,Cryptocurrency backed by U.S. dollars,"Tether is fiat-collateralized <a href=""https://messari.io/resource/stablecoins"">stablecoin</a> that offers individuals the advantages of transacting with blockchain-based assets while mitigating price risk. Tether is primarily issued on the Ethereum and Bitcoin blockchains and corresponds on a 1:1 basis with US Dollars sitting in bank accounts.  "
BNB,BNB,binance-coin,57709839020.922325,Centralized Exchanges,Financial,An exchange token native to the Binance blockchain ,Binance Coin is digital asset native to the Binance blockchain and launched by the Binance online exchange. 
ADA,Cardano,cardano,53169040352.59496,Smart Contract Platforms,Infrastructure,Layered blockchain for smart contract and dapp development,"Cardano is an open-source, smart-contract platform that aims to provide multiple features through layered design. Its modularization will eventually allow for network delegation, sidechains, and light client data structures. Cardano uses a version of Proof-of-Stake (PoS) called Ouroboros to secure the network and manage the block production process. The network features a native token called ADA that gives stakers a claim on new issuance in proportion to their holdings and allows users to pay for transactions."
DOGE,Dogecoin,dogecoin,43161935598.73862,Currencies,Payments,A meme-currency dedicated to Shiba Inus,Dogecoin is a playful cryptocurrency popularized by adopting the Shiba Inu internet meme.
XRP,XRP,xrp,38476791321.63313,Currencies,Payments,Global money transfer,"XRP is a cryptocurrency aiming to increase the speed and reduce the cost of transferring money between financial institutions. Underpinning <a href=""https://messari.io/organization/ripple"">Ripple</a>'s xRapid product, an on-demand liquidity solution, XRP is used as a bridge currency for financial institutions exchanging value between multiple fiat currencies. XRP is the native token of the XRP Ledger, an open-source cryptographic ledger powered by a peer-to-peer network of nodes."
DOT,Dotcoin,dotcoin,,,,,
ICP,Internet Computer,internet-computer,16782338013.527077,Smart Contract Platforms,Infrastructure,A decentralized computing platform for software services,"The Internet Computer (IC) is a blockchain network built by the DFINITY Foundation that aims to support smart contract development at scale. It's an attempt to reinvent how users interact with internet applications as its nodes run on specialized hardware housed by various independent data centers. The IC lets developers deploy and run applications through the use of canisters, which are akin to smart contracts. Each canister has a storage capacity of 4GB. The IC features two core tokens: ICP is the network's governance token, and Cycles (created by burning ICP) are a form of stablecoin that allows users to pay for computational resources and network transactions."
UNI,Uniswap,uniswap,16545658141.02972,Decentralized Exchanges,Financial,,"Uniswap is a decentralized exchange built on Ethereum that utilizes an automated market making system rather than a traditional order-book. Instead of matching individual buy and sell orders, users can pool together two assets that are then traded against, with the price determined based on the ratio between the two. "
