,ticker,name,slug,marketcap,sector,category,symbol,size
0,BTC,Bitcoin,bitcoin,1.02238E+12,Currencies,Payments,BTC-USD,1000
1,ETH,Ethereum,ethereum,4.72018E+11,Smart Contract Platforms,Infrastructure,ETH-USD,800
2,BNB,BNB,binance-coin,99759535240,Centralized Exchanges,Financial,BNB-USD,700
3,DOGE,Dogecoin,dogecoin,60374826535,Currencies,Payments,DOGE-USD,650
4,USDT,Tether,tether,58341350132,Stablecoins,Payments,USDT-USD,620
5,XRP,XRP,xrp,54295577417,Currencies,Payments,XRP-USD,600
6,ADA,Cardano,cardano,54234576116,Smart Contract Platforms,Infrastructure,ADA-USD,580
7,DOT,Polkadot,polkadot,36438927757,Smart Contract Platforms,Infrastructure,DOT1-USD,560
8,BCH,Bitcoin Cash,bitcoin-cash,27968735701,Currencies,Payments,BCH-USD,540
9,LTC,Litecoin,litecoin,24118688695,Currencies,Payments,LTC-USD,491.107816
10,UNI,Uniswap,uniswap,21424397436,Decentralized Exchanges,Financial,UNI3-USD,462.8649634
11,LINK,Chainlink,chainlink,19141554964,Data Management,Services,LINK-USD,437.510628
12,VET,VeChain,vechain,12828469328,Smart Contract Platforms,Infrastructure,VET-USD,358.1685264
13,ETC,Ethereum Classic,ethereum-classic,12746451580,Smart Contract Platforms,Infrastructure,ETC-USD,357.0217302
14,XLM,Stellar,stellar,12240491201,Currencies,Payments,XLM-USD,349.8641336
15,SOL,Solana,solana,12223513292,Smart Contract Platforms,Infrastructure,SOL1-USD,349.6214137
16,EOS,EOS,eos,11572582510,Smart Contract Platforms,Infrastructure,EOS-USD,340.1849866
17,USDC,USD Coin,usd-coin,10827666469,Stablecoins,Payments,USDC-USD,329.0541972
18,THETA,Theta Token,theta-token,10463021550,Content Creation and Distribution,Media and Entertainment,THETA-USD,323.4659418
19,HEX,Hex,hex-2,9294862688,,,HEX-USD,304.8747725
20,TRX,TRON,tron,9093442528,Smart Contract Platforms,Infrastructure,TRX-USD,301.5533539
21,FIL,Filecoin,filecoin,8674360527,File Storage,Infrastructure,FIL-USD,294.5226736
22,XMR,Monero,monero,7884181333,Currencies,Payments,XMR-USD,280.787844
23,WBTC,Wrapped Bitcoin,wrapped-bitcoin,7695445785,,,WBTC-USD,277.4066651
24,NEO,NEO,neo,7536238318,Smart Contract Platforms,Infrastructure,NEO-USD,274.5220996
25,AAVE,Aave,aave,7241099583,Lending,Financial,AAVE-USD,269.092913
26,HT,Huobi Token,huobi-token,6852153357,Centralized Exchanges,Financial,HT-USD,261.7661811
27,BSV,Bitcoin SV,bitcoin-sv,6766055366,Currencies,Payments,BSV-USD,260.1164233
28,LUNA,Terra,terra,6375544504,Payment Platforms,Payments,LUNA1-USD,252.498406
29,MATIC,Polygon,polygon,5882728568,Scaling,Infrastructure,MATIC-USD,242.5433687
30,FTT,FTX Token,ftx-token,5735198970,Centralized Exchanges,Financial,FTT-USD,239.4827545
31,MIOTA,IOTA,iota,5560998625,IoT,Services,MIOTA-USD,235.8176971
32,CAKE,PancakeSwap,pancakeswap,5531938982,Decentralized Exchanges,Financial,CAKE-USD,235.2007437
33,ATOM,Cosmos,cosmos,5494424166,Smart Contract Platforms,Infrastructure,ATOM1-USD,234.4018807
34,MKR,Maker,maker,5441002021,Lending,Financial,MKR-USD,233.2595555
35,BUSD,Binance USD,binance-usd,5248971791,Stablecoins,Payments,BUSD-USD,229.1063463
36,XTZ,Tezos,tezos,5203346055,Smart Contract Platforms,Infrastructure,XTZ-USD,228.1084403
37,AVAX,Avalanche,avalanche,4967187218,Smart Contract Platforms,Infrastructure,AVAX-USD,222.8718739
